League,Degree,whyplay,Age,GAD_T
Gold,High School,improving,19,6
Gold,Master,having fun,29,3
Platinum,High School,having fun,24,3
Platinum,High School,improving,21,6
Gold,Bachelor,improving,25,6
Unranked,High School,improving,23,20
Gold,High School,having fun,23,2
Silver,High School,having fun,18,10
Silver,High School,winning,18,17
Platinum,High School,having fun,23,20
Platinum,High School,winning,19,12
Gold,Doctor,improving,31,9
Gold,High School,having fun,18,1
Gold,High School,improving,18,1
Platinum,None,improving,18,8
Gold,High School,having fun,18,2
Gold,High School,having fun,21,17
Silver,None,having fun,18,2
Platinum,High School,winning,20,9
Gold,High School,having fun,18,12
Platinum,Bachelor,having fun,23,12
Gold,High School,having fun,21,5
Gold,High School,winning,23,8
Gold,High School,having fun,18,4
Silver,High School,improving,20,1
Platinum,None,improving,18,6
Diamond,High School,winning,19,9
Silver,High School,improving,19,5
Platinum,High School,improving,21,2
Platinum,High School,having fun,21,2
Unranked,High School,having fun,21,1
Diamond,High School,relaxing,22,4
Platinum,High School,improving,21,12
Diamond,High School,improving,22,1
Bronze,None,having fun,18,4
Silver,High School,having fun,22,1
Diamond,High School,having fun,19,3
Platinum,High School,relaxing,19,4
Bronze,High School,winning,20,2
Unranked,High School,having fun,20,10
Gold,High School,having fun,19,2
Gold,High School,improving,18,1
Silver,None,having fun,18,11
Bronze,High School,improving,25,7
Bronze,High School,having fun,20,6
Gold,High School,improving,18,3
Silver,Doctor,relaxing,34,9
Platinum,High School,improving,21,0
Gold,High School,having fun,20,2
Gold,High School,winning,20,16
Diamond,High School,improving,22,5
Gold,Master,having fun,20,12
Gold,High School,relaxing,23,1
Diamond,High School,winning,19,1
Diamond,High School,having fun,20,4
Platinum,High School,having fun,20,2
Bronze,High School,improving,18,1
Diamond,High School,improving,20,2
Gold,Bachelor,improving,23,0
Gold,Master,having fun,21,3
Silver,High School,having fun,22,21
Gold,High School,improving,19,3
Platinum,High School,winning,23,2
Silver,None,having fun,18,3
Diamond,Bachelor,improving,20,3
Unranked,None,improving,18,19
Gold,High School,relaxing,18,13
Diamond,High School,winning,20,7
Silver,None,having fun,18,10
Silver,Master,having fun,20,4
Gold,High School,improving,29,4
Silver,Bachelor,winning,35,2
Platinum,High School,improving,18,14
Platinum,Bachelor,winning,19,16
Gold,High School,improving,23,2
Platinum,None,having fun,18,12
Gold,High School,improving,20,3
Unranked,High School,improving,22,8
Silver,High School,winning,21,4
Silver,Doctor,winning,27,3
Platinum,Bachelor,winning,19,7
Bronze,High School,improving,18,8
Platinum,High School,improving,19,6
Silver,High School,winning,23,3
Platinum,Master,relaxing,28,13
Silver,High School,improving,18,1
Platinum,High School,having fun,18,5
Silver,High School,winning,22,3
Gold,Bachelor,having fun,20,5
Diamond,High School,improving,18,8
Gold,Bachelor,improving,31,4
Unranked,Bachelor,improving,25,1
Gold,Bachelor,having fun,23,2
Platinum,High School,improving,19,8
Bronze,Bachelor,improving,18,12
Bronze,Bachelor,having fun,23,0
Platinum,High School,having fun,18,5
Platinum,High School,winning,21,12
Gold,High School,winning,19,14
Diamond,High School,winning,19,7
Silver,Bachelor,winning,27,4
Gold,High School,winning,21,11
Diamond,Master,improving,22,7
Diamond,High School,having fun,19,1
Silver,High School,having fun,18,15
Silver,High School,winning,20,4
Platinum,High School,improving,19,3
Gold,High School,having fun,21,1
Gold,High School,improving,21,4
Gold,High School,improving,21,0
Silver,High School,having fun,20,9
Diamond,High School,winning,19,12
Platinum,High School,having fun,18,0
Gold,Master,improving,26,6
Unranked,High School,winning,23,9
Gold,High School,improving,18,6
Bronze,High School,having fun,18,12
Platinum,High School,having fun,20,6
Silver,High School,having fun,18,3
Bronze,Bachelor,winning,18,8
Silver,High School,winning,19,3
Platinum,High School,having fun,20,8
Silver,High School,improving,22,13
Gold,Master,having fun,24,7
Platinum,Bachelor,improving,23,14
Gold,None,having fun,18,0
Unranked,High School,having fun,18,1
Silver,High School,having fun,24,10
Gold,None,improving,18,5
Bronze,High School,having fun,28,3
Gold,High School,improving,23,0
Silver,High School,having fun,18,0
Platinum,High School,having fun,19,3
Gold,High School,improving,18,7
Diamond,Bachelor,improving,24,16
Silver,High School,improving,18,7
Platinum,High School,improving,20,6
Gold,None,improving,19,12
Bronze,High School,improving,18,5
Bronze,Bachelor,having fun,28,6
Gold,High School,winning,19,14
Bronze,High School,having fun,19,12
Platinum,High School,having fun,18,16
Silver,High School,relaxing,22,6
Platinum,Bachelor,having fun,19,5
Diamond,High School,having fun,18,2
Platinum,High School,having fun,22,3
Gold,High School,improving,22,5
Platinum,High School,winning,18,3
Silver,None,having fun,18,1
Platinum,None,winning,18,5
Bronze,High School,improving,19,4
Platinum,High School,having fun,18,2
Platinum,High School,improving,23,3
Diamond,High School,winning,21,7
Diamond,High School,winning,19,16
Gold,High School,having fun,29,0
Unranked,High School,relaxing,21,5
Diamond,Master,having fun,29,2
Silver,Bachelor,having fun,21,3
Unranked,Bachelor,winning,21,8
Platinum,High School,having fun,20,5
Gold,High School,having fun,20,5
Gold,High School,having fun,20,9
Gold,High School,improving,19,1
Gold,High School,having fun,20,9
Platinum,None,improving,19,2
Platinum,High School,winning,18,2
Gold,High School,having fun,18,2
Platinum,High School,winning,19,4
Gold,High School,relaxing,19,8
Gold,High School,winning,20,8
Platinum,High School,winning,20,8
Diamond,High School,winning,20,4
Platinum,High School,improving,18,7
Silver,None,improving,18,9
Gold,High School,having fun,24,5
Gold,High School,winning,18,9
Gold,High School,winning,19,9
Gold,High School,improving,23,18
Gold,High School,having fun,19,2
Diamond,High School,winning,24,3
Platinum,High School,having fun,20,2
Gold,High School,having fun,19,3
Gold,High School,having fun,21,6
Platinum,High School,having fun,19,17
Platinum,High School,improving,21,7
Gold,Bachelor,having fun,20,0
Silver,None,winning,18,0
Gold,Master,winning,21,9
Silver,High School,improving,21,5
Platinum,High School,having fun,21,10
Gold,High School,improving,20,6
Gold,High School,improving,20,1
Silver,Bachelor,improving,23,0
Gold,None,improving,18,1
Silver,Bachelor,having fun,25,2
Unranked,None,improving,18,2
Silver,High School,having fun,19,6
Silver,None,winning,18,4
Platinum,None,having fun,18,1
Gold,None,winning,24,11
Gold,High School,having fun,19,1
Platinum,High School,improving,19,3
Silver,High School,having fun,18,5
Platinum,None,winning,18,3
Gold,None,improving,18,17
Gold,High School,having fun,20,4
Diamond,High School,having fun,18,3
Bronze,High School,improving,20,2
Platinum,High School,having fun,18,1
Platinum,High School,improving,21,2
Platinum,High School,improving,25,9
Silver,High School,improving,19,5
Silver,High School,improving,26,6
Gold,High School,winning,18,14
Diamond,High School,improving,20,2
Silver,High School,improving,20,4
Gold,High School,improving,21,5
Platinum,None,improving,18,5
Silver,High School,relaxing,18,9
Gold,High School,winning,26,6
Platinum,High School,having fun,18,3
Platinum,Bachelor,having fun,21,10
Diamond,High School,improving,19,11
Silver,High School,having fun,19,0
Diamond,High School,improving,19,3
Silver,High School,having fun,21,3
Silver,Master,improving,21,7
Platinum,High School,having fun,18,0
Silver,High School,having fun,18,2
Silver,High School,winning,20,12
Diamond,High School,improving,22,14
Platinum,High School,winning,25,1
Gold,Bachelor,having fun,18,5
Gold,High School,improving,18,4
Silver,High School,having fun,18,12
Silver,High School,relaxing,22,6
Platinum,Bachelor,having fun,22,9
Diamond,High School,having fun,18,2
Gold,High School,improving,20,2
Silver,High School,improving,19,13
Gold,None,having fun,18,4
Silver,High School,improving,19,6
Gold,Bachelor,improving,21,14
Gold,High School,winning,22,1
Gold,High School,having fun,18,0
Platinum,Bachelor,improving,24,11
Gold,High School,winning,20,1
Gold,High School,winning,18,1
Gold,High School,having fun,21,4
Platinum,None,improving,18,2
Platinum,High School,having fun,23,6
Diamond,Bachelor,winning,18,5
Gold,High School,improving,18,2
Gold,High School,winning,21,1
Bronze,None,improving,18,7
Gold,High School,improving,18,2
Gold,Bachelor,winning,30,1
Silver,High School,having fun,19,3
Platinum,Bachelor,improving,21,0
Gold,High School,having fun,19,7
Platinum,High School,winning,18,1
Platinum,High School,having fun,26,4
Silver,High School,winning,20,10
Gold,High School,improving,20,2
Diamond,High School,having fun,18,0
Gold,High School,having fun,20,5
Silver,High School,improving,18,1
Bronze,High School,having fun,18,4
Gold,High School,winning,25,6
Gold,High School,improving,19,16
Gold,High School,improving,33,12
Silver,None,improving,18,0
Gold,Bachelor,improving,22,2
Silver,High School,winning,25,11
Silver,None,improving,18,5
Gold,Bachelor,having fun,20,0
Unranked,High School,winning,20,12
Bronze,High School,improving,22,2
Silver,High School,having fun,21,7
Silver,High School,having fun,19,3
Platinum,Master,improving,32,9
Platinum,High School,winning,21,9
Platinum,None,improving,18,17
Silver,High School,having fun,19,0
Silver,Bachelor,having fun,22,1
Gold,High School,improving,20,2
Platinum,Bachelor,having fun,24,3
Platinum,High School,improving,18,0
Bronze,Master,improving,28,0
Bronze,High School,having fun,18,6
Silver,High School,having fun,19,2
Platinum,Bachelor,having fun,18,4
Silver,High School,having fun,25,12
Silver,High School,improving,22,2
Platinum,High School,improving,21,7
Platinum,High School,improving,20,5
Diamond,High School,winning,18,4
Bronze,High School,winning,19,6
Diamond,High School,improving,20,11
Platinum,High School,improving,20,2
Platinum,High School,winning,19,2
Platinum,High School,improving,18,19
Gold,High School,winning,20,3
Silver,Bachelor,having fun,23,6
Silver,Bachelor,relaxing,21,0
Silver,Bachelor,improving,30,0
Gold,High School,improving,18,4
Platinum,High School,improving,23,7
Gold,Master,having fun,20,8
Silver,Bachelor,improving,31,0
Silver,High School,improving,18,5
Unranked,Bachelor,improving,27,4
Diamond,Master,winning,28,3
Gold,High School,having fun,25,2
Gold,Bachelor,improving,24,7
Gold,High School,having fun,19,4
Silver,High School,improving,24,6
Platinum,High School,having fun,22,12
Platinum,Bachelor,improving,23,0
Diamond,High School,improving,20,3
Gold,High School,improving,19,3
Silver,High School,improving,20,4
Silver,High School,improving,19,15
Platinum,High School,having fun,22,0
Gold,High School,improving,20,13
Gold,High School,having fun,22,0
Gold,None,improving,18,4
Platinum,High School,winning,21,9
Silver,High School,having fun,19,6
Silver,High School,winning,19,1
Gold,High School,having fun,19,1
Gold,High School,having fun,18,1
Silver,High School,improving,22,3
Platinum,High School,winning,23,2
Silver,High School,winning,18,4
Gold,High School,winning,28,8
Platinum,Bachelor,improving,26,3
Platinum,High School,relaxing,21,10
Bronze,Bachelor,improving,30,4
Silver,High School,improving,21,13
Platinum,High School,improving,19,5
Silver,Bachelor,having fun,24,0
Platinum,High School,having fun,18,3
Diamond,Master,improving,22,6
Platinum,High School,improving,30,10
Diamond,High School,having fun,23,3
Diamond,High School,improving,22,9
Gold,Bachelor,improving,33,4
Diamond,High School,having fun,19,1
Diamond,High School,having fun,20,2
Silver,High School,having fun,19,0
Diamond,High School,winning,18,5
Platinum,Bachelor,winning,28,8
Platinum,High School,having fun,19,3
Silver,High School,relaxing,20,14
Gold,Bachelor,improving,23,3
Diamond,High School,improving,19,4
Unranked,High School,improving,20,5
Diamond,High School,improving,23,3
Platinum,None,improving,18,15
Unranked,High School,having fun,21,6
Diamond,Master,improving,29,0
Silver,Bachelor,having fun,23,13
Platinum,High School,improving,21,1
Platinum,None,improving,18,2
Platinum,None,improving,22,2
Platinum,High School,improving,22,4
Platinum,High School,improving,18,3
Silver,High School,improving,20,18
Silver,High School,improving,19,7
Diamond,High School,having fun,20,11
Silver,High School,having fun,18,7
Gold,Master,improving,23,6
Silver,Bachelor,having fun,19,5
Platinum,High School,improving,20,5
Gold,High School,improving,21,3
Gold,High School,having fun,20,2
Platinum,High School,having fun,18,4
Silver,Bachelor,having fun,23,4
Silver,Bachelor,improving,25,6
Platinum,High School,improving,19,4
Bronze,High School,improving,18,5
Diamond,High School,improving,22,2
Gold,High School,improving,21,0
Diamond,High School,winning,18,10
Diamond,None,improving,18,3
Silver,High School,having fun,18,6
Silver,Bachelor,having fun,35,2
Diamond,Bachelor,having fun,27,4
Silver,High School,having fun,20,11
Platinum,High School,improving,19,1
Gold,High School,winning,20,4
Platinum,High School,having fun,20,3
Diamond,High School,improving,18,7
Unranked,High School,improving,18,16
Platinum,High School,improving,18,6
Gold,High School,having fun,20,4
Platinum,None,improving,18,12
Platinum,High School,improving,18,4
Platinum,High School,improving,22,3
Diamond,High School,winning,21,13
Gold,None,improving,18,3
Platinum,High School,winning,20,3
Gold,High School,relaxing,21,13
Gold,High School,winning,19,13
Platinum,Bachelor,winning,32,14
Gold,Bachelor,improving,21,4
Platinum,High School,improving,22,8
Platinum,High School,having fun,18,4
Diamond,Master,improving,26,1
Gold,None,having fun,18,3
Bronze,Bachelor,improving,26,6
Unranked,High School,improving,20,17
Diamond,None,winning,18,13
Platinum,High School,relaxing,19,12
Silver,None,improving,18,2
Platinum,High School,having fun,19,10
Silver,High School,having fun,18,2
Gold,High School,having fun,20,10
Bronze,High School,having fun,29,2
Platinum,High School,improving,21,5
Diamond,None,improving,19,13
Silver,High School,improving,19,2
Gold,High School,having fun,19,13
Platinum,Bachelor,improving,26,14
Gold,High School,improving,19,2
Unranked,High School,having fun,23,9
Silver,High School,having fun,21,3
Platinum,High School,improving,18,4
Platinum,High School,having fun,19,1
Gold,High School,having fun,20,3
Diamond,High School,winning,24,4
Diamond,High School,improving,19,2
Silver,High School,improving,21,13
Silver,High School,having fun,25,12
Platinum,High School,improving,20,1
Platinum,High School,having fun,18,5
Silver,None,improving,18,8
Gold,Master,winning,25,1
Bronze,Bachelor,improving,22,5
Platinum,Bachelor,improving,22,3
Platinum,High School,improving,18,3
Gold,None,having fun,18,17
Unranked,High School,having fun,20,2
Gold,None,winning,18,7
Unranked,High School,having fun,20,12
Diamond,Bachelor,improving,19,5
Platinum,High School,having fun,18,5
Gold,Bachelor,winning,18,2
Platinum,High School,having fun,24,2
Gold,Bachelor,having fun,26,8
Silver,Bachelor,improving,21,3
Gold,Bachelor,having fun,25,3
Platinum,High School,improving,26,3
Unranked,High School,having fun,19,8
Platinum,Master,having fun,26,8
Gold,High School,having fun,19,7
Platinum,High School,having fun,20,1
Platinum,Bachelor,having fun,23,3
Gold,Bachelor,having fun,25,2
Gold,High School,winning,25,6
Gold,High School,winning,24,9
Platinum,Bachelor,improving,25,4
Diamond,High School,improving,21,1
Gold,High School,improving,22,3
Silver,Bachelor,improving,32,11
Bronze,None,improving,18,1
Gold,Bachelor,improving,24,1
Gold,Master,winning,22,4
Gold,High School,having fun,20,10
Gold,None,improving,18,2
Diamond,High School,winning,24,15
Silver,Bachelor,having fun,18,7
Unranked,High School,winning,28,8
Diamond,High School,improving,22,5
